frame,time_s,ball,conf,table_x,table_y
1,0.03,white,0.856,0.4445,0.3727
1,0.03,red,0.806,0.7518,0.3511
1,0.03,yellow,0.748,0.408,0.6473
2,0.059,white,0.856,0.4445,0.3727
2,0.059,red,0.806,0.7518,0.3511
2,0.059,yellow,0.748,0.408,0.6472
3,0.089,white,0.856,0.4445,0.3726
3,0.089,red,0.807,0.7518,0.3511
3,0.089,yellow,0.748,0.408,0.6472
4,0.119,white,0.856,0.4445,0.3727
4,0.119,red,0.808,0.7518,0.3511
4,0.119,yellow,0.748,0.4081,0.6472
5,0.148,white,0.856,0.4446,0.3726
5,0.148,red,0.807,0.7518,0.3511
5,0.148,yellow,0.748,0.4081,0.6472
6,0.178,white,0.855,0.4446,0.3726
6,0.178,red,0.806,0.7518,0.3511
6,0.178,yellow,0.748,0.408,0.6473
7,0.208,white,0.856,0.4446,0.3727
7,0.208,red,0.806,0.7518,0.3511
7,0.208,yellow,0.748,0.408,0.6473
8,0.237,white,0.855,0.4446,0.3726
8,0.237,red,0.805,0.7518,0.3511
8,0.237,yellow,0.748,0.408,0.6473
9,0.267,white,0.856,0.4446,0.3727
9,0.267,red,0.805,0.7518,0.3511
9,0.267,yellow,0.748,0.4081,0.6473
10,0.297,white,0.855,0.4446,0.3727
10,0.297,red,0.805,0.7518,0.3511
10,0.297,yellow,0.748,0.4081,0.6473
11,0.327,white,0.856,0.4446,0.3727
11,0.327,red,0.805,0.7518,0.3511
11,0.327,yellow,0.748,0.4081,0.6473
12,0.356,white,0.855,0.4446,0.3727
12,0.356,red,0.806,0.7518,0.3511
12,0.356,yellow,0.748,0.4081,0.6473
13,0.386,white,0.856,0.4446,0.3727
13,0.386,red,0.806,0.7518,0.3511
13,0.386,yellow,0.748,0.4081,0.6473
14,0.416,white,0.855,0.4446,0.3727
14,0.416,red,0.805,0.7518,0.3511
14,0.416,yellow,0.748,0.408,0.6473
15,0.445,white,0.856,0.4446,0.3727
15,0.445,red,0.805,0.7518,0.3511
15,0.445,yellow,0.748,0.4081,0.6473
16,0.475,white,0.855,0.4446,0.3727
16,0.475,red,0.805,0.7518,0.3511
16,0.475,yellow,0.748,0.408,0.6473
17,0.505,white,0.856,0.4446,0.3727
17,0.505,red,0.806,0.7518,0.3511
17,0.505,yellow,0.748,0.408,0.6473
18,0.534,white,0.855,0.4446,0.3727
18,0.534,red,0.806,0.7518,0.3511
